id;state;county;year;month;day;day_of_week;rural_urban;light_condition;fatalities;time
10001;ALABAMA;LEE;2019;2;7;THURSDAY;URBAN;DAYLIGHT;1;2019-02-07 12:00:00
10002;ALABAMA;ETOWAH;2019;1;23;WEDNESDAY;URBAN;DARK;1;2019-01-23 18:00:00
10003;ALABAMA;CLEBURNE;2019;1;22;TUESDAY;RURAL;DARK;1;2019-01-22 19:00:00
10004;ALABAMA;ETOWAH;2019;1;22;TUESDAY;RURAL;DARK;1;2019-01-22 03:00:00
10005;ALABAMA;BALDWIN;2019;1;18;FRIDAY;URBAN;DARK;1;2019-01-18 05:00:00
10006;ALABAMA;LOWNDES;2019;1;7;MONDAY;RURAL;DAYLIGHT;1;2019-01-07 12:00:00
10007;ALABAMA;ETOWAH;2019;1;2;WEDNESDAY;RURAL;DAYLIGHT;1;2019-01-02 09:00:00
10008;ALABAMA;HOUSTON;2019;2;9;SATURDAY;RURAL;DARK;1;2019-02-09 21:00:00
10009;ALABAMA;BALDWIN;2019;2;8;FRIDAY;URBAN;DAYLIGHT;1;2019-02-08 07:00:00
10010;ALABAMA;MONTGOMERY;2019;2;7;THURSDAY;URBAN;DARK;1;2019-02-07 05:00:00
10011;ALABAMA;TALLAPOOSA;2019;1;1;TUESDAY;RURAL;DARK;1;2019-01-01 01:00:00
10012;ALABAMA;ETOWAH;2019;1;2;WEDNESDAY;RURAL;DARK;1;2019-01-02 18:00:00
10013;ALABAMA;HOUSTON;2019;1;4;FRIDAY;URBAN;DARK;1;2019-01-04 21:00:00
10014;ALABAMA;HOUSTON;2019;1;6;SUNDAY;RURAL;DARK;1;2019-01-06 00:00:00
10015;ALABAMA;BUTLER;2019;1;7;MONDAY;URBAN;DARK;1;2019-01-07 04:00:00
10016;ALABAMA;MOBILE;2019;1;7;MONDAY;URBAN;DAYLIGHT;1;2019-01-07 14:00:00
10017;ALABAMA;JEFFERSON;2019;1;7;MONDAY;URBAN;DAYLIGHT;1;2019-01-07 14:00:00
10018;ALABAMA;BALDWIN;2019;1;7;MONDAY;URBAN;DARK;1;2019-01-07 22:00:00
10019;ALABAMA;ETOWAH;2019;1;7;MONDAY;RURAL;DAYLIGHT;1;2019-01-07 13:00:00
10020;ALABAMA;MOBILE;2019;1;8;TUESDAY;RURAL;DARK;1;2019-01-08 01:00:00
10021;ALABAMA;CALHOUN;2019;1;8;TUESDAY;RURAL;DARK;1;2019-01-08 18:00:00
10022;ALABAMA;PICKENS;2019;1;10;THURSDAY;RURAL;DAWN;1;2019-01-10 06:00:00
10023;ALABAMA;PIKE;2019;1;11;FRIDAY;URBAN;DAYLIGHT;1;2019-01-11 16:00:00
10024;ALABAMA;DEKALB;2019;1;11;FRIDAY;RURAL;DAYLIGHT;1;2019-01-11 13:00:00
10025;ALABAMA;MADISON;2019;1;11;FRIDAY;URBAN;DAYLIGHT;1;2019-01-11 07:00:00
10026;ALABAMA;COVINGTON;2019;1;11;FRIDAY;RURAL;DAYLIGHT;1;2019-01-11 06:00:00
10027;ALABAMA;BLOUNT;2019;1;12;SATURDAY;RURAL;DAYLIGHT;1;2019-01-12 13:00:00
10028;ALABAMA;TUSCALOOSA;2019;1;12;SATURDAY;URBAN;DAYLIGHT;2;2019-01-12 16:00:00
10029;ALABAMA;CALHOUN;2019;1;13;SUNDAY;RURAL;DAYLIGHT;1;2019-01-13 08:00:00
10030;ALABAMA;SHELBY;2019;1;14;MONDAY;URBAN;DARK;1;2019-01-14 01:00:00
10031;ALABAMA;JACKSON;2019;1;15;TUESDAY;URBAN;DARK;1;2019-01-15 17:00:00
10032;ALABAMA;FRANKLIN;2019;1;15;TUESDAY;RURAL;DAYLIGHT;1;2019-01-15 12:00:00
10033;ALABAMA;MADISON;2019;1;17;THURSDAY;RURAL;DAYLIGHT;1;2019-01-17 07:00:00
10034;ALABAMA;WINSTON;2019;1;17;THURSDAY;RURAL;DAYLIGHT;1;2019-01-17 08:00:00
10035;ALABAMA;MORGAN;2019;1;18;FRIDAY;URBAN;DARK;1;2019-01-18 21:00:00
10036;ALABAMA;CLAY;2019;1;18;FRIDAY;RURAL;DAYLIGHT;1;2019-01-18 11:00:00
10037;ALABAMA;BLOUNT;2019;1;18;FRIDAY;RURAL;DAYLIGHT;1;2019-01-18 11:00:00
10038;ALABAMA;BALDWIN;2019;1;19;SATURDAY;URBAN;DARK;1;2019-01-19 01:00:00
10039;ALABAMA;MOBILE;2019;1;20;SUNDAY;URBAN;DARK;1;2019-01-20 19:00:00
10040;ALABAMA;LAUDERDALE;2019;1;20;SUNDAY;RURAL;DARK;1;2019-01-20 22:00:00
10041;ALABAMA;MADISON;2019;1;20;SUNDAY;URBAN;DARK;1;2019-01-20 22:00:00
10042;ALABAMA;CLEBURNE;2019;1;20;SUNDAY;RURAL;DAYLIGHT;1;2019-01-20 13:00:00
10043;ALABAMA;LAUDERDALE;2019;1;20;SUNDAY;RURAL;DAYLIGHT;1;2019-01-20 12:00:00
10044;ALABAMA;MACON;2019;1;21;MONDAY;RURAL;DAYLIGHT;1;2019-01-21 16:00:00
10045;ALABAMA;CULLMAN;2019;1;21;MONDAY;URBAN;DAYLIGHT;1;2019-01-21 08:00:00
10046;ALABAMA;TALLADEGA;2019;1;22;TUESDAY;URBAN;DARK;1;2019-01-22 04:00:00
10047;ALABAMA;TUSCALOOSA;2019;1;22;TUESDAY;URBAN;DARK;1;2019-01-22 04:00:00
10048;ALABAMA;MOBILE;2019;1;22;TUESDAY;URBAN;DARK;1;2019-01-22 22:00:00
10049;ALABAMA;DEKALB;2019;1;23;WEDNESDAY;RURAL;DARK;1;2019-01-23 17:00:00
10050;ALABAMA;ETOWAH;2019;1;25;FRIDAY;URBAN;DAYLIGHT;1;2019-01-25 06:00:00
10051;ALABAMA;MOBILE;2019;1;26;SATURDAY;URBAN;DARK;1;2019-01-26 18:00:00
10052;ALABAMA;MADISON;2019;1;26;SATURDAY;RURAL;DAYLIGHT;1;2019-01-26 12:00:00
10053;ALABAMA;LIMESTONE;2019;1;27;SUNDAY;RURAL;DAYLIGHT;1;2019-01-27 06:00:00
10054;ALABAMA;JEFFERSON;2019;1;27;SUNDAY;RURAL;DARK;1;2019-01-27 19:00:00
10055;ALABAMA;TUSCALOOSA;2019;1;29;TUESDAY;URBAN;DARK;2;2019-01-29 20:00:00
10056;ALABAMA;RUSSELL;2019;1;29;TUESDAY;URBAN;DAYLIGHT;1;2019-01-29 14:00:00
10057;ALABAMA;TUSCALOOSA;2019;1;29;TUESDAY;URBAN;DARK;1;2019-01-29 05:00:00
10058;ALABAMA;MONTGOMERY;2019;1;30;WEDNESDAY;URBAN;DARK;1;2019-01-30 01:00:00
10059;ALABAMA;CLAY;2019;1;30;WEDNESDAY;RURAL;DARK;1;2019-01-30 04:00:00
10060;ALABAMA;CALHOUN;2019;1;30;WEDNESDAY;RURAL;DAYLIGHT;1;2019-01-30 13:00:00
10061;ALABAMA;DEKALB;2019;1;30;WEDNESDAY;RURAL;DARK;1;2019-01-30 17:00:00
10062;ALABAMA;MONTGOMERY;2019;1;30;WEDNESDAY;URBAN;DARK;1;2019-01-30 17:00:00
10063;ALABAMA;BALDWIN;2019;1;31;THURSDAY;RURAL;DUSK;1;2019-01-31 17:00:00
10064;ALABAMA;HOUSTON;2019;2;1;FRIDAY;URBAN;DARK;1;2019-02-01 01:00:00
10065;ALABAMA;CLEBURNE;2019;2;1;FRIDAY;RURAL;DARK;1;2019-02-01 22:00:00
10066;ALABAMA;LIMESTONE;2019;2;4;MONDAY;RURAL;DAYLIGHT;1;2019-02-04 09:00:00
10067;ALABAMA;TUSCALOOSA;2019;2;5;TUESDAY;RURAL;DARK;1;2019-02-05 05:00:00
10068;ALABAMA;HOUSTON;2019;2;5;TUESDAY;URBAN;DAYLIGHT;1;2019-02-05 13:00:00
10069;ALABAMA;CALHOUN;2019;2;6;WEDNESDAY;URBAN;DAYLIGHT;1;2019-02-06 12:00:00
10070;ALABAMA;MOBILE;2019;2;6;WEDNESDAY;URBAN;DAYLIGHT;1;2019-02-06 17:00:00
10071;ALABAMA;ESCAMBIA;2019;2;24;SUNDAY;RURAL;DARK;1;2019-02-24 03:00:00
10072;ALABAMA;MOBILE;2019;3;1;FRIDAY;URBAN;DAYLIGHT;1;2019-03-01 13:00:00
10073;ALABAMA;JEFFERSON;2019;2;16;SATURDAY;URBAN;DAYLIGHT;1;2019-02-16 13:00:00
10074;ALABAMA;JEFFERSON;2019;2;16;SATURDAY;URBAN;DARK;1;2019-02-16 21:00:00
10075;ALABAMA;RANDOLPH;2019;1;4;FRIDAY;RURAL;DAYLIGHT;1;2019-01-04 16:00:00
10076;ALABAMA;MOBILE;2019;1;15;TUESDAY;URBAN;DAYLIGHT;1;2019-01-15 10:00:00
10077;ALABAMA;JEFFERSON;2019;1;27;SUNDAY;URBAN;DARK;1;2019-01-27 02:00:00
10078;ALABAMA;COFFEE;2019;1;28;MONDAY;URBAN;DARK;1;2019-01-28 03:00:00
10079;ALABAMA;MORGAN;2019;2;6;WEDNESDAY;URBAN;DARK;1;2019-02-06 17:00:00
10080;ALABAMA;GENEVA;2019;2;7;THURSDAY;RURAL;DAYLIGHT;1;2019-02-07 09:00:00
10081;ALABAMA;SHELBY;2019;2;9;SATURDAY;URBAN;DARK;1;2019-02-09 18:00:00
10082;ALABAMA;MOBILE;2019;2;10;SUNDAY;RURAL;DARK;1;2019-02-10 18:00:00
10083;ALABAMA;BALDWIN;2019;2;14;THURSDAY;URBAN;DAYLIGHT;1;2019-02-14 08:00:00
10084;ALABAMA;DEKALB;2019;2;15;FRIDAY;RURAL;DAYLIGHT;1;2019-02-15 16:00:00
10085;ALABAMA;MOBILE;2019;2;15;FRIDAY;RURAL;DAYLIGHT;1;2019-02-15 13:00:00
10086;ALABAMA;MARENGO;2019;2;16;SATURDAY;RURAL;DAWN;2;2019-02-16 06:00:00
10087;ALABAMA;LEE;2019;2;16;SATURDAY;URBAN;DARK;1;2019-02-16 20:00:00
10089;ALABAMA;MOBILE;2019;2;17;SUNDAY;URBAN;DARK;1;2019-02-17 19:00:00
10090;ALABAMA;MONTGOMERY;2019;2;17;SUNDAY;URBAN;DARK;1;2019-02-17 18:00:00
10091;ALABAMA;CALHOUN;2019;2;19;TUESDAY;RURAL;DAYLIGHT;1;2019-02-19 12:00:00
10092;ALABAMA;DEKALB;2019;2;20;WEDNESDAY;RURAL;DARK;1;2019-02-20 04:00:00
10093;ALABAMA;MONTGOMERY;2019;2;21;THURSDAY;URBAN;DAYLIGHT;1;2019-02-21 12:00:00
10094;ALABAMA;MADISON;2019;2;22;FRIDAY;URBAN;DAYLIGHT;1;2019-02-22 12:00:00
10095;ALABAMA;COVINGTON;2019;2;22;FRIDAY;RURAL;DAYLIGHT;1;2019-02-22 17:00:00
10096;ALABAMA;SHELBY;2019;2;23;SATURDAY;URBAN;DAYLIGHT;3;2019-02-23 16:00:00
10097;ALABAMA;PIKE;2019;2;23;SATURDAY;URBAN;DARK;1;2019-02-23 01:00:00
10098;ALABAMA;CHILTON;2019;2;24;SUNDAY;RURAL;DAYLIGHT;1;2019-02-24 15:00:00
10099;ALABAMA;COVINGTON;2019;2;26;TUESDAY;URBAN;DAYLIGHT;1;2019-02-26 14:00:00
10100;ALABAMA;MONTGOMERY;2019;2;28;THURSDAY;URBAN;DAYLIGHT;1;2019-02-28 13:00:00
10101;ALABAMA;FRANKLIN;2019;3;2;SATURDAY;URBAN;DAYLIGHT;1;2019-03-02 11:00:00
10102;ALABAMA;ELMORE;2019;3;2;SATURDAY;URBAN;DARK;1;2019-03-02 04:00:00
10103;ALABAMA;COFFEE;2019;3;2;SATURDAY;RURAL;DARK;1;2019-03-02 22:00:00
10104;ALABAMA;SHELBY;2019;3;3;SUNDAY;RURAL;DARK;1;2019-03-03 00:00:00
10105;ALABAMA;TUSCALOOSA;2019;3;3;SUNDAY;URBAN;DARK;1;2019-03-03 01:00:00
10106;ALABAMA;BALDWIN;2019;3;3;SUNDAY;RURAL;DAWN;1;2019-03-03 07:00:00
10107;ALABAMA;TALLADEGA;2019;3;4;MONDAY;RURAL;DARK;1;2019-03-04 19:00:00
10108;ALABAMA;MADISON;2019;3;4;MONDAY;URBAN;DAYLIGHT;1;2019-03-04 15:00:00
10109;ALABAMA;DALLAS;2019;3;4;MONDAY;RURAL;DAYLIGHT;1;2019-03-04 14:00:00
10110;ALABAMA;DALE;2019;3;4;MONDAY;RURAL;DARK;1;2019-03-04 19:00:00
